#cicle	avCl	components	diam	aspl	order
0	0.000000	1	98	33.333333	2500
1	0.334277	1	58	21.739180	2500
2	0.396282	1	44	16.527291	2500
3	0.307655	1	36	14.020003	2500
4	0.273677	1	32	12.802596	2500
5	0.252014	1	29	11.820007	2500
6	0.236548	1	26	11.025944	2500
7	0.219716	1	23	10.354671	2500
8	0.215210	1	23	9.788429	2500
9	0.206732	1	22	9.252557	2500
10	0.207891	1	20	8.829573	2500
11	0.210145	1	20	8.464126	2500
12	0.213439	1	18	8.072544	2500
13	0.221151	1	17	7.649760	2500
14	0.218777	1	16	7.332113	2500
15	0.229620	1	15	6.806959	2500
16	0.234351	1	14	6.475587	2500
17	0.238143	1	13	6.083642	2500
18	0.235836	1	12	5.719681	2500
19	0.236793	1	11	5.412977	2500
20	0.236029	1	11	5.290162	2500
21	0.239147	1	10	5.026476	2500
22	0.243630	1	9	4.773941	2500
23	0.242657	1	9	4.648157	2500
24	0.250929	1	8	4.496662	2500
25	0.255619	1	9	4.280521	2500
26	0.256242	1	8	4.108119	2500
27	0.267212	1	7	3.870742	2500
28	0.264020	1	6	3.680074	2500
29	0.259640	1	6	3.779333	2500
30	0.264803	1	6	3.608364	2500
