#cicle	avCl	components	diam	aspl	order
0	0.000000	1	98	33.333333	2500
1	0.333736	1	58	21.949783	2500
2	0.398945	1	44	16.982650	2500
3	0.307110	1	36	14.452896	2500
4	0.274759	1	33	13.115965	2500
5	0.252621	1	30	12.336895	2500
6	0.238602	1	27	11.532189	2500
7	0.232817	1	25	11.006436	2500
8	0.223371	1	26	10.747743	2500
9	0.220301	1	25	10.309293	2500
10	0.214861	1	23	10.034059	2500
11	0.212721	1	23	9.676168	2500
12	0.208509	1	23	9.412104	2500
13	0.203120	1	21	9.214130	2500
14	0.200901	1	21	9.119535	2500
15	0.192504	1	20	8.857761	2500
16	0.194505	1	19	8.586695	2500
17	0.195271	1	19	8.465190	2500
18	0.196207	1	17	8.196721	2500
19	0.192986	1	18	8.239273	2500
20	0.192734	1	18	8.049994	2500
21	0.195751	1	18	7.963101	2500
22	0.191440	1	17	7.875753	2500
23	0.195190	1	17	7.845376	2500
24	0.191392	1	17	7.624966	2500
25	0.189490	1	16	7.509487	2500
26	0.190044	1	16	7.534607	2500
27	0.185740	1	16	7.460110	2500
28	0.186783	1	15	7.378143	2500
29	0.185594	1	16	7.375423	2500
30	0.189652	1	16	7.290682	2500
