#cicle	avCl	components	diam	aspl	order
0	0.000000	1	98	33.333333	2500
1	0.329760	1	59	21.872395	2500
2	0.395323	1	43	16.749206	2500
3	0.317022	1	37	14.320268	2500
4	0.278999	1	32	13.105889	2500
5	0.259869	1	31	12.251184	2500
6	0.240600	1	28	11.616695	2500
7	0.229961	1	27	11.025756	2500
8	0.217816	1	25	10.696389	2500
9	0.216953	1	24	10.107298	2500
10	0.205535	1	24	9.884030	2500
11	0.206337	1	23	9.713588	2500
12	0.202850	1	22	9.581354	2500
13	0.203475	1	23	9.305800	2500
14	0.201892	1	21	8.988574	2500
15	0.198556	1	21	8.982238	2500
16	0.199517	1	20	8.845461	2500
17	0.196794	1	20	8.542385	2500
18	0.192656	1	19	8.396401	2500
19	0.197906	1	19	8.339163	2500
20	0.191310	1	19	8.169926	2500
21	0.192104	1	18	8.029221	2500
22	0.189642	1	17	7.867763	2500
23	0.186253	1	17	7.819520	2500
24	0.185975	1	17	7.766873	2500
25	0.188711	1	17	7.775516	2500
26	0.192066	1	16	7.623368	2500
27	0.187160	1	16	7.474188	2500
28	0.189149	1	15	7.440272	2500
29	0.189287	1	16	7.365547	2500
30	0.187672	1	16	7.298812	2500
