#cicle	avCl	components	diam	aspl	order
0	0.000000	1	98	33.333333	2500
1	0.365362	1	39	15.484118	2500
2	0.369738	1	37	14.795078	2500
3	0.368638	1	36	14.814338	2500
4	0.366881	1	36	14.779192	2500
5	0.365314	1	36	14.808150	2500
6	0.365083	1	36	14.754123	2500
7	0.366326	1	36	14.767331	2500
8	0.368913	1	35	14.718097	2500
9	0.367711	1	35	14.657857	2500
10	0.369585	1	36	14.611856	2500
11	0.373344	1	35	14.556337	2500
12	0.373229	1	34	14.423491	2500
13	0.376875	1	34	14.373704	2500
14	0.379180	1	33	14.185732	2500
15	0.381703	1	33	14.099446	2500
16	0.381689	1	30	13.830672	2500
17	0.389597	1	29	13.569507	2500
18	0.391832	1	28	13.257005	2500
19	0.393281	1	27	13.182971	2500
20	0.395415	1	27	13.005215	2500
21	0.399775	1	26	12.816199	2500
22	0.402073	1	26	12.765805	2500
23	0.404551	1	25	12.579653	2500
24	0.407047	1	24	12.196152	2500
25	0.405969	1	24	12.048008	2500
26	0.408808	1	24	11.993905	2500
27	0.413117	1	23	11.825528	2500
28	0.417443	1	23	11.647933	2500
29	0.420819	1	23	11.645035	2500
30	0.425123	1	23	11.534952	2500
