#cicle	avCl	components	diam	aspl	order
0	0.000000	1	98	33.333333	2500
1	0.334577	1	58	21.829458	2500
2	0.393845	1	43	16.529521	2500
3	0.304887	1	34	13.798825	2500
4	0.271936	1	32	12.661052	2500
5	0.244492	1	27	11.442187	2500
6	0.231171	1	25	10.723316	2500
7	0.223787	1	24	10.116194	2500
8	0.216607	1	23	9.742826	2500
9	0.211164	1	23	9.474563	2500
10	0.210107	1	20	8.971908	2500
11	0.209344	1	19	8.502805	2500
12	0.201908	1	18	8.023877	2500
13	0.209879	1	17	7.621347	2500
14	0.211434	1	16	7.292512	2500
15	0.220408	1	16	6.827602	2500
16	0.221120	1	14	6.469421	2500
17	0.233271	1	14	6.078903	2500
18	0.241586	1	13	5.574268	2500
19	0.236332	1	12	5.353120	2500
20	0.238838	1	11	5.006132	2500
21	0.244303	1	10	4.721452	2500
22	0.240088	1	10	4.741624	2500
23	0.240048	1	10	4.540746	2500
24	0.239255	1	9	4.396353	2500
25	0.230530	1	8	4.304831	2500
26	0.242337	1	8	4.181276	2500
27	0.238836	1	8	4.042148	2500
28	0.245902	1	7	3.789400	2500
29	0.242555	1	6	3.641806	2500
30	0.251565	1	6	3.585784	2500
