#cicle	avCl	components	diam	aspl	order
0	0.000000	1	98	33.333333	2500
1	0.332422	1	59	21.707461	2500
2	0.393631	1	42	16.658658	2500
3	0.309756	1	34	14.017694	2500
4	0.273980	1	31	12.690537	2500
5	0.249790	1	29	11.755204	2500
6	0.237946	1	26	10.917509	2500
7	0.229897	1	24	10.275966	2500
8	0.219357	1	22	9.688196	2500
9	0.213888	1	21	9.124427	2500
10	0.211559	1	20	8.613409	2500
11	0.211684	1	19	8.426245	2500
12	0.213553	1	20	8.194152	2500
13	0.218003	1	18	7.878341	2500
14	0.222478	1	18	7.487429	2500
15	0.226738	1	16	6.845233	2500
16	0.234490	1	14	6.508433	2500
17	0.247316	1	13	6.076269	2500
18	0.247497	1	12	5.616638	2500
19	0.249264	1	12	5.405807	2500
20	0.260152	1	11	5.090546	2500
21	0.259161	1	10	4.690131	2500
22	0.263939	1	9	4.546687	2500
23	0.260639	1	9	4.271012	2500
24	0.258078	1	9	4.134272	2500
25	0.260884	1	8	3.977729	2500
26	0.260737	1	8	3.771654	2500
27	0.265290	1	7	3.635707	2500
28	0.258817	1	7	3.595194	2500
29	0.258719	1	7	3.520946	2500
30	0.265178	1	7	3.237513	2500
