#cicle	avCl	components	diam	aspl	order
0	0.000000	1	98	33.333333	2500
1	0.334967	1	59	22.087351	2500
2	0.399144	1	44	16.690851	2500
3	0.307923	1	36	14.034602	2500
4	0.280795	1	32	12.800011	2500
5	0.253968	1	29	11.745669	2500
6	0.238674	1	26	10.989892	2500
7	0.225571	1	25	10.362186	2500
8	0.216136	1	22	9.765836	2500
9	0.208995	1	22	9.218368	2500
10	0.211347	1	19	8.751847	2500
11	0.206106	1	18	8.284446	2500
12	0.206554	1	17	7.945703	2500
13	0.209698	1	17	7.600507	2500
14	0.208887	1	16	7.097541	2500
15	0.217274	1	15	6.730333	2500
16	0.224384	1	13	6.268205	2500
17	0.226410	1	13	5.943416	2500
18	0.230609	1	12	5.572634	2500
19	0.228060	1	11	5.265950	2500
20	0.231462	1	11	5.038706	2500
21	0.235407	1	10	4.677055	2500
22	0.238912	1	9	4.522649	2500
23	0.237220	1	9	4.344802	2500
24	0.243829	1	8	4.207227	2500
25	0.243576	1	8	4.002247	2500
26	0.250367	1	7	3.940416	2500
27	0.240980	1	7	3.725930	2500
28	0.238939	1	7	3.591327	2500
29	0.240805	1	6	3.474727	2500
30	0.238983	1	6	3.434779	2500
