#cicle	avCl	components	diam	aspl	order
0	0.000000	1	98	33.333333	2500
1	0.361612	1	37	14.991984	2500
2	0.368391	1	35	14.334606	2500
3	0.369541	1	35	14.308793	2500
4	0.369369	1	34	14.250815	2500
5	0.370315	1	36	14.413614	2500
6	0.372373	1	34	14.342313	2500
7	0.372572	1	34	14.318325	2500
8	0.371759	1	34	14.297178	2500
9	0.371778	1	35	14.290965	2500
10	0.372710	1	35	14.216904	2500
11	0.376380	1	34	14.171505	2500
12	0.376604	1	34	14.160955	2500
13	0.377411	1	33	13.947965	2500
14	0.378773	1	32	13.817658	2500
15	0.379823	1	32	13.676791	2500
16	0.385902	1	32	13.587569	2500
17	0.387776	1	31	13.437720	2500
18	0.386837	1	31	13.325767	2500
19	0.389585	1	29	13.064151	2500
20	0.392875	1	28	13.029580	2500
21	0.396182	1	28	12.969744	2500
22	0.398266	1	28	12.918437	2500
23	0.402065	1	28	12.881843	2500
24	0.404021	1	27	12.627093	2500
25	0.405907	1	26	12.474100	2500
26	0.407968	1	26	12.124716	2500
27	0.410470	1	25	12.090965	2500
28	0.411690	1	24	11.945752	2500
29	0.415099	1	24	11.824627	2500
30	0.419765	1	24	11.893379	2500
