#cicle	avCl	components	diam	aspl	order
0	0.000000	1	98	33.333333	2500
1	0.335171	1	60	22.003523	2500
2	0.395785	1	44	16.837357	2500
3	0.306064	1	35	13.992319	2500
4	0.267526	1	32	12.633734	2500
5	0.248514	1	28	11.669721	2500
6	0.232392	1	26	11.004398	2500
7	0.225867	1	25	10.375033	2500
8	0.219268	1	23	9.828751	2500
9	0.212158	1	22	9.355082	2500
10	0.214464	1	20	8.804610	2500
11	0.209447	1	20	8.463663	2500
12	0.212556	1	18	8.076065	2500
13	0.206703	1	17	7.441856	2500
14	0.213517	1	16	7.155203	2500
15	0.213008	1	14	6.706035	2500
16	0.217226	1	14	6.502434	2500
17	0.225661	1	12	5.910625	2500
18	0.227243	1	12	5.706938	2500
19	0.229520	1	11	5.409038	2500
20	0.231677	1	11	5.258937	2500
21	0.237563	1	10	4.920350	2500
22	0.239244	1	10	4.632867	2500
23	0.244030	1	9	4.451399	2500
24	0.251187	1	9	4.464498	2500
25	0.254487	1	8	4.127024	2500
26	0.253020	1	8	3.999891	2500
27	0.254304	1	7	3.899959	2500
28	0.251898	1	7	3.647083	2500
29	0.262515	1	6	3.503800	2500
30	0.256228	1	6	3.317297	2500
