#cicle	avCl	components	diam	aspl	order
0	0.000000	1	98	33.333333	2500
1	0.361908	1	38	15.219504	2500
2	0.364331	1	35	14.445371	2500
3	0.363656	1	35	14.422761	2500
4	0.364754	1	35	14.427584	2500
5	0.364795	1	35	14.432913	2500
6	0.363282	1	34	14.444441	2500
7	0.362264	1	34	14.444170	2500
8	0.362281	1	34	14.450188	2500
9	0.363867	1	34	14.465127	2500
10	0.364520	1	34	14.439456	2500
11	0.364335	1	35	14.453656	2500
12	0.365322	1	35	14.458622	2500
13	0.366192	1	35	14.481862	2500
14	0.366842	1	36	14.509249	2500
15	0.366394	1	36	14.547104	2500
16	0.367277	1	35	14.545740	2500
17	0.367043	1	35	14.585818	2500
18	0.366847	1	35	14.605045	2500
19	0.366322	1	35	14.619645	2500
20	0.365428	1	35	14.593399	2500
21	0.365866	1	36	14.582012	2500
22	0.363475	1	35	14.530440	2500
23	0.363816	1	34	14.548392	2500
24	0.363825	1	34	14.553770	2500
25	0.364551	1	35	14.545617	2500
26	0.362078	1	34	14.558882	2500
27	0.363239	1	34	14.551405	2500
28	0.362943	1	35	14.580385	2500
29	0.364725	1	34	14.653647	2500
30	0.364899	1	34	14.592936	2500
