#cicle	avCl	components	diam	aspl	order
0	0.000000	1	98	33.333333	2500
1	0.037291	1	9	5.052098	2500
2	0.043250	1	9	4.762271	2500
3	0.038320	1	8	4.561938	2500
4	0.041733	1	7	4.453109	2500
5	0.047018	1	8	4.390156	2500
6	0.047179	1	7	4.300987	2500
7	0.051695	1	7	4.218567	2500
8	0.052887	1	7	4.109002	2500
9	0.054770	1	7	3.968252	2500
10	0.063203	1	6	3.785164	2500
11	0.072104	1	6	3.619162	2500
12	0.083044	1	6	3.431329	2500
13	0.101062	1	6	3.264457	2500
14	0.116207	1	6	3.130415	2500
15	0.131640	1	6	3.017309	2500
16	0.139998	1	5	2.939287	2500
17	0.161714	1	5	2.852513	2500
18	0.173333	1	5	2.787827	2500
19	0.190533	1	5	2.723301	2500
20	0.204095	1	5	2.673566	2500
21	0.207673	1	5	2.657290	2500
22	0.218073	1	5	2.646906	2500
23	0.220860	1	5	2.645295	2500
24	0.224288	1	5	2.647347	2500
25	0.230282	1	5	2.632586	2500
26	0.233775	1	5	2.632265	2500
27	0.241326	1	5	2.608109	2500
28	0.245942	1	5	2.590740	2500
29	0.249251	1	5	2.597917	2500
30	0.250987	1	5	2.589408	2500
