#cicle	avCl	components	diam	aspl	order
0	0.000000	1	98	33.333333	2500
1	0.362266	1	37	15.427251	2500
2	0.366982	1	35	14.691282	2500
3	0.367771	1	35	14.590068	2500
4	0.367742	1	35	14.562669	2500
5	0.368952	1	34	14.532664	2500
6	0.371701	1	34	14.493439	2500
7	0.373602	1	34	14.441981	2500
8	0.374719	1	34	14.428450	2500
9	0.372363	1	34	14.355061	2500
10	0.377062	1	33	14.271579	2500
11	0.377316	1	33	14.111789	2500
12	0.378414	1	31	13.980740	2500
13	0.382734	1	31	13.841831	2500
14	0.384893	1	31	13.715708	2500
15	0.387305	1	30	13.531444	2500
16	0.393478	1	30	13.479634	2500
17	0.397468	1	28	13.175529	2500
18	0.399304	1	27	12.872498	2500
19	0.401938	1	27	12.704578	2500
20	0.403596	1	26	12.314329	2500
21	0.408604	1	26	12.328797	2500
22	0.412507	1	25	12.062644	2500
23	0.416065	1	23	11.689779	2500
24	0.420812	1	23	11.378394	2500
25	0.422617	1	22	11.269767	2500
26	0.425016	1	22	11.142656	2500
27	0.430407	1	22	11.127434	2500
28	0.432123	1	22	10.964938	2500
29	0.436951	1	22	10.920403	2500
30	0.439109	1	21	10.807737	2500
