#cicle	avCl	components	diam	aspl	order
0	0.000000	1	98	33.333333	2500
1	0.335071	1	59	21.965157	2500
2	0.397235	1	44	16.928313	2500
3	0.316317	1	37	14.597481	2500
4	0.282842	1	32	13.170509	2500
5	0.266381	1	31	12.322624	2500
6	0.246208	1	29	11.745067	2500
7	0.241257	1	27	10.981940	2500
8	0.230363	1	26	10.737351	2500
9	0.224581	1	24	10.542365	2500
10	0.220242	1	24	10.311355	2500
11	0.215748	1	23	10.012572	2500
12	0.213127	1	22	9.572578	2500
13	0.212299	1	22	9.426225	2500
14	0.208231	1	20	9.210723	2500
15	0.206480	1	21	9.045800	2500
16	0.201684	1	20	8.951471	2500
17	0.201637	1	20	8.840154	2500
18	0.202457	1	20	8.722165	2500
19	0.200292	1	20	8.683697	2500
20	0.202983	1	18	8.491718	2500
21	0.201046	1	18	8.364283	2500
22	0.204216	1	19	8.293297	2500
23	0.202303	1	17	8.055617	2500
24	0.200271	1	18	8.096296	2500
25	0.201643	1	18	8.060347	2500
26	0.194620	1	18	7.942518	2500
27	0.195257	1	17	7.863787	2500
28	0.194710	1	16	7.724526	2500
29	0.197371	1	17	7.729135	2500
30	0.198859	1	16	7.793598	2500
