#cicle	avCl	components	diam	aspl	order
0	0.000000	1	98	33.333333	2500
1	0.331836	1	59	21.903976	2500
2	0.401148	1	43	16.733937	2500
3	0.320681	1	36	14.543018	2500
4	0.287684	1	32	13.278744	2500
5	0.261364	1	30	12.301328	2500
6	0.248370	1	28	11.635400	2500
7	0.234321	1	26	11.058244	2500
8	0.223930	1	25	10.570338	2500
9	0.216324	1	24	10.184989	2500
10	0.214437	1	23	9.808252	2500
11	0.213216	1	24	9.899581	2500
12	0.206815	1	23	9.617570	2500
13	0.206946	1	21	9.425525	2500
14	0.207667	1	22	9.492330	2500
15	0.204199	1	22	9.188456	2500
16	0.209587	1	20	8.953391	2500
17	0.204151	1	20	8.778624	2500
18	0.200198	1	20	8.606371	2500
19	0.201038	1	19	8.527695	2500
20	0.199751	1	19	8.464590	2500
21	0.199185	1	19	8.275992	2500
22	0.195923	1	18	8.122411	2500
23	0.190938	1	17	7.874750	2500
24	0.191253	1	17	7.744745	2500
25	0.188447	1	17	7.620334	2500
26	0.194707	1	16	7.647156	2500
27	0.191386	1	16	7.655029	2500
28	0.192693	1	16	7.596052	2500
29	0.190623	1	16	7.515502	2500
30	0.196312	1	16	7.452609	2500
